t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
554416.38,-157000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554417.40,-113000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:1300000:1300000
554418.43,-114000,3957000,310,Discharging,950000:950000:950000:950000:950000:950000:1000000:1000000
554419.46,-271000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554420.49,-317000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554421.53,-489000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554422.57,-461000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554423.61,-475000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554424.65,-483000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554425.69,-481000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554426.73,-462000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554427.77,-478000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554428.81,-477000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554429.85,-462000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554430.89,-474000,3957000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554431.93,-507000,3917000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554432.98,-473000,3917000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554434.02,-484000,3917000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554435.06,-467000,3917000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554436.10,-481000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554437.14,-510000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554438.18,-530000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554439.22,-467000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554440.26,-463000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554441.31,-473000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554442.35,-461000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554443.39,-448000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554444.43,-467000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554445.46,-471000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554446.50,-464000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554447.54,-460000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554448.58,-446000,3920000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
