t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
554249.43,-131000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554250.46,-112000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:900000:900000
554251.50,-115000,3935000,310,Discharging,850000:850000:850000:850000:850000:850000:1100000:1100000
554252.53,-247000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554253.55,-320000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554254.60,-488000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554255.64,-467000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554256.68,-471000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554257.72,-479000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554258.76,-471000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554259.81,-684000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554260.84,-696000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554261.87,-693000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554262.92,-344000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554263.95,-128000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554265.00,-113000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554266.05,-114000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554267.10,-110000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554268.14,-114000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554269.17,-297000,3965000,310,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
554270.20,-431000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554271.23,-411000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554272.27,-465000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554273.31,-469000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554274.34,-469000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554275.38,-479000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554276.42,-695000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554277.45,-702000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554278.48,-698000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554279.51,-349000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554280.54,-113000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554281.59,-114000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554282.64,-113000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554283.69,-114000,3965000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
