t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
554331.99,-181000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:900000:900000
554333.02,-107000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:1000000:1000000
554334.05,-118000,3975000,310,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
554335.08,-259000,3975000,310,Discharging,1200000:1200000:1200000:1200000:1200000:1200000:2200000:2200000
554336.11,-313000,3975000,310,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
554337.15,-421000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554338.19,-455000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554339.23,-463000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554340.27,-466000,3975000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554341.31,-477000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554342.35,-456000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554343.39,-470000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554344.43,-474000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554345.47,-465000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554346.51,-473000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554347.55,-474000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554348.59,-469000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554349.63,-472000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554350.67,-458000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554351.71,-460000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554352.75,-556000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554353.79,-685000,3932000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554354.82,-688000,3905000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554355.86,-684000,3905000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554356.90,-687000,3905000,310,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
554357.93,-690000,3905000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554358.97,-694000,3905000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554360.01,-692000,3902000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554361.04,-683000,3902000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554362.07,-689000,3902000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
