t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
554213.04,-348000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554214.07,-268000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554215.10,-224000,3990000,310,Discharging,1800000:1800000:1800000:1800000:1800000:1800000:1100000:1100000
554216.13,-458000,3990000,310,Discharging,700000:700000:700000:700000:700000:700000:2200000:2200000
554217.15,-708000,3990000,310,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2000000:2000000
554218.16,-574000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554219.20,-474000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554220.24,-468000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554221.28,-468000,3990000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554222.32,-581000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554223.36,-696000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554224.39,-695000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554225.42,-699000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554226.45,-118000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554227.50,-114000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554228.56,-114000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554229.61,-110000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554230.64,-110000,3935000,310,Discharging,850000:850000:1350000:1350000:1350000:1350000:1900000:1900000
554231.67,-274000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554232.71,-321000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554233.74,-491000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554234.78,-465000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554235.82,-474000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554236.86,-474000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554237.90,-468000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554238.95,-592000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554239.99,-697000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554241.02,-698000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
554242.06,-347000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554243.09,-113000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554244.15,-115000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554245.20,-112000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
554246.25,-110000,3935000,310,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
