t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
558851.20,-248000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:1500000:1500000
558852.22,-213000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558853.25,-154000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:1000000:1000000
558854.27,-257000,3975000,230,Discharging,950000:950000:950000:950000:950000:950000:2200000:2200000
558855.31,-379000,3975000,230,Discharging,650000:650000:850000:850000:850000:850000:2200000:2200000
558856.35,-418000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558857.39,-447000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558858.43,-459000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558859.47,-450000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558860.51,-449000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558861.56,-671000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558862.60,-675000,3975000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558863.63,-682000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558864.67,-331000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558865.71,-106000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558866.74,-128000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558867.79,-108000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558868.82,-108000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558869.86,-246000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558870.88,-272000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558871.92,-425000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558872.96,-316000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558874.00,-455000,3887000,230,Discharging,1000000:1000000:1000000:1000000:1000000:1000000:2200000:2200000
558875.04,-454000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558876.08,-458000,3887000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558877.12,-556000,3912000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
558878.15,-798000,3912000,230,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
558879.19,-686000,3882000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
558880.22,-682000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558881.25,-123000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558882.30,-120000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558883.34,-194000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558884.39,-121000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558885.43,-115000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558886.48,-212000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558887.51,-305000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558888.54,-472000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558889.57,-365000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558890.61,-461000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558891.65,-454000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558892.69,-462000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558893.73,-625000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558894.77,-684000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558895.80,-678000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558896.84,-441000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558897.87,-130000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558898.93,-124000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558899.98,-114000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558901.02,-117000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558902.07,-116000,3882000,230,Discharging,650000:650000:650000:650000:650000:650000:1200000:1200000
