t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
558904.63,-107000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:1800000:1800000
558905.66,-106000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558906.69,-112000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558907.72,-268000,3882000,230,Discharging,950000:950000:950000:950000:950000:950000:2200000:2200000
558908.75,-324000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558909.80,-474000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558910.84,-450000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558911.88,-459000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558912.92,-471000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558913.96,-468000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558915.00,-464000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558916.04,-455000,3882000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558917.09,-677000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558918.13,-681000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558919.17,-677000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558920.20,-674000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558921.24,-674000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558922.28,-669000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558923.31,-674000,3907000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558924.35,-672000,3875000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558925.39,-674000,3875000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558926.42,-674000,3875000,230,Discharging,750000:750000:750000:750000:1250000:1250000:2200000:2200000
558927.46,-671000,3875000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558928.49,-672000,3875000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558929.52,-675000,3875000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558930.56,-671000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558931.59,-674000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558932.62,-671000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558933.66,-665000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558934.69,-665000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558935.72,-665000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558936.76,-666000,3872000,230,Discharging,1100000:1100000:1100000:1100000:1100000:1100000:2200000:2200000
558937.80,-664000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558938.83,-656000,3872000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558939.86,-654000,3870000,230,Discharging,1050000:1050000:2000000:2000000:2000000:2000000:2200000:2200000
558940.90,-659000,3870000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558941.93,-654000,3870000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558942.97,-653000,3870000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558944.01,-652000,3867000,230,Discharging,500000:500000:750000:750000:750000:750000:2200000:2200000
558945.04,-661000,3867000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558946.08,-656000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558947.12,-463000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558948.16,-113000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558949.20,-117000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558950.26,-117000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558951.31,-116000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
558952.35,-121000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558953.38,-274000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558954.41,-310000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558955.44,-360000,3865000,230,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
558956.48,-463000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558957.52,-460000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558958.56,-463000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558959.60,-460000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558960.64,-460000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558961.68,-457000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558962.71,-683000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558963.75,-684000,3865000,230,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558964.78,-678000,3865000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558965.82,-677000,3865000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558966.86,-680000,3865000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558967.89,-681000,3865000,240,Discharging,1500000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
558968.93,-681000,3862000,240,Discharging,500000:500000:500000:800000:800000:800000:2200000:2200000
558969.95,-681000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558970.99,-676000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558972.02,-678000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558973.06,-676000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558974.10,-675000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558975.13,-674000,3862000,240,Discharging,750000:750000:750000:950000:950000:950000:2200000:2200000
558976.17,-674000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558977.20,-676000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558978.24,-673000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558979.27,-670000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558980.30,-677000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558981.34,-677000,3862000,240,Discharging,1250000:1250000:1250000:1250000:1250000:1250000:2200000:2200000
558982.37,-671000,3862000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558983.41,-672000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558984.45,-653000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558985.49,-660000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558986.52,-655000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558987.56,-653000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558988.60,-654000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558989.63,-650000,3860000,240,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
558990.66,-652000,3860000,240,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
558991.68,-660000,3860000,240,Discharging,850000:850000:850000:850000:850000:850000:2200000:2200000
