t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
559045.81,-153000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559046.83,-149000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:800000:800000
559047.86,-110000,3855000,250,Discharging,1600000:1600000:1600000:1600000:1600000:1600000:725000:725000
559048.88,-326000,3855000,250,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
559049.91,-277000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559050.93,-627000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559051.96,-812000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559053.00,-375000,3855000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559054.04,-472000,3855000,250,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559055.20,-616000,3855000,250,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559056.26,-481000,3855000,250,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559057.29,-501000,3855000,250,Discharging,1200000:1200000:1200000:1200000:1200000:1200000:2200000:2200000
559058.33,-463000,3855000,250,Discharging,500000:700000:700000:700000:700000:700000:2200000:2200000
559059.37,-462000,3882000,250,Discharging,1050000:1300000:1300000:1300000:1300000:1300000:2200000:2200000
559060.40,-480000,3882000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559061.44,-460000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559062.48,-479000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559063.52,-464000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559064.56,-464000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559065.61,-454000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559066.65,-474000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559067.70,-695000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559068.73,-697000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559069.77,-695000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559070.81,-698000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559071.84,-698000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559072.87,-699000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559073.91,-703000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559074.93,-697000,3885000,250,Discharging,500000:500000:750000:750000:750000:750000:2200000:2200000
559075.97,-699000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559077.00,-702000,3885000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559078.04,-716000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559079.07,-704000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559080.11,-702000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559081.15,-698000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559082.18,-701000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559083.22,-698000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559084.25,-704000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559085.29,-720000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559086.32,-699000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559087.36,-756000,3850000,250,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559088.39,-721000,3850000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559089.43,-708000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559090.46,-702000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559091.50,-700000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559092.54,-701000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559093.58,-699000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559094.61,-703000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559095.64,-700000,3840000,250,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
