t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
559312.38,-85000,3847000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559314.64,-33000,3847000,270,Discharging,650000:650000:650000:650000:650000:650000:725000:725000
559315.69,-169000,3900000,270,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
559319.21,-10000,3900000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559320.64,-210000,3900000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559323.43,-24000,3900000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559325.87,-26000,3900000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559329.14,-74000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559331.61,-67000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559334.68,-56000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559337.34,-12000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559340.51,-9000,3930000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559342.56,-170000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559345.81,-145000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559348.26,-156000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559350.34,-358000,3930000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559352.79,-164000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559355.04,-173000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559357.51,-16000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559359.10,-121000,3930000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
559360.96,-46000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559364.43,-189000,3930000,270,Discharging,1350000:1350000:1350000:1350000:1350000:1350000:2200000:2200000
559366.89,-109000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559368.64,-371000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559371.26,-101000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559373.07,-386000,3930000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
559374.15,-482000,3930000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
