t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
108016.40,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
108017.45,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108018.48,,,,,1228800:1228800:1228800:1651200:1651200:1651200:1651200:1977600
108019.52,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
108020.55,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
108021.59,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
108022.62,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
108023.67,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
108024.70,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
108025.72,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
108026.75,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
108027.80,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
108028.83,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
108029.87,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108029.97,,,,,1113600:1113600:1113600:1920000:1920000:1920000:1920000:2227200
108031.01,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108032.05,,,,,1459200:1459200:1459200:1920000:1920000:1920000:1920000:2227200
108033.09,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108034.13,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
108034.28,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108035.32,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
108036.35,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108036.47,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
108037.52,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108038.56,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
108039.61,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108040.63,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108041.65,,,,,1459200:1459200:1459200:2054400:2054400:2054400:2054400:2342400
108041.77,,,,,902400:902400:902400:2054400:2054400:2054400:2054400:2342400
108042.80,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
108043.83,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
108044.86,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
108045.89,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108046.92,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108047.94,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
108048.97,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
108050.01,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
108051.04,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
108052.06,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108052.17,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108053.20,,,,,1228800:1228800:1228800:2054400:2054400:2054400:2054400:2342400
108054.23,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108055.25,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108056.28,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
108056.38,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
108056.47,,,,,1113600:1113600:1113600:2054400:2054400:2054400:2054400:2342400
108057.51,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108058.53,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
108059.57,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
