t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107889.14,,,,,1228800:1228800:1228800:1920000:1920000:1920000:1920000:2227200
107890.17,,,,,1113600:1113600:1113600:1920000:1920000:1920000:1920000:2227200
107891.20,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
107892.23,,,,,1670400:1670400:1670400:1920000:1920000:1920000:1920000:2227200
107893.26,,,,,1670400:1670400:1670400:1920000:1920000:1920000:1920000:2227200
107894.28,,,,,1670400:1670400:1670400:1920000:1920000:1920000:1920000:2227200
107895.31,,,,,1670400:1670400:1670400:1920000:1920000:1920000:1920000:2227200
107896.33,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107897.36,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107898.40,,,,,1459200:1459200:1459200:1920000:1920000:1920000:1920000:2227200
107899.42,,,,,1459200:1459200:1459200:2054400:2054400:2054400:2054400:2342400
107900.45,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107901.47,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107902.51,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107903.52,,,,,902400:902400:902400:2054400:2054400:2054400:2054400:2342400
107904.56,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107905.59,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107906.63,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107907.67,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107908.70,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107909.72,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107910.75,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107911.78,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107912.80,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
107913.83,,,,,1113600:1113600:1113600:1920000:1920000:1920000:1920000:2227200
107914.86,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107915.90,,,,,1017600:1017600:1017600:1920000:1920000:1920000:1920000:2227200
107916.93,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107917.97,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107919.00,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107920.03,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
