t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107700.54,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107701.58,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
107702.62,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
107703.66,,,,,1344000:1344000:1344000:2188800:2188800:2188800:2188800:2476800
107704.69,,,,,1555200:1555200:1555200:2188800:2188800:2188800:2188800:2476800
107704.77,,,,,1555200:1555200:1555200:2188800:2188800:2188800:2188800:2476800
107705.80,,,,,1228800:1228800:1228800:2188800:2188800:2188800:2188800:2476800
107706.84,,,,,1555200:1555200:1555200:2188800:2188800:2188800:2188800:2476800
107707.89,,,,,1555200:1555200:1555200:2188800:2188800:2188800:2188800:2476800
107708.92,,,,,1017600:1017600:1017600:2188800:2188800:2188800:2188800:2476800
107709.96,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107711.00,,,,,1459200:1459200:1459200:2323200:2323200:2323200:2323200:2592000
107712.04,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107713.07,,,,,1785600:1785600:1785600:2323200:2323200:2323200:2323200:2592000
107713.17,,,,,1900800:1900800:1900800:2323200:2323200:2323200:2323200:2592000
107714.19,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107715.22,,,,,556800:556800:556800:2323200:2323200:2323200:2323200:2592000
107716.25,,,,,1785600:1785600:1785600:2323200:2323200:2323200:2323200:2592000
107717.28,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107717.37,,,,,1900800:1900800:1900800:2323200:2323200:2323200:2323200:2592000
107717.47,,,,,1459200:1459200:1459200:2323200:2323200:2323200:2323200:2592000
107717.57,,,,,1785600:1785600:1785600:2323200:2323200:2323200:2323200:2592000
107717.68,,,,,672000:672000:672000:2323200:2323200:2323200:2323200:2592000
107718.71,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107719.74,,,,,1459200:1459200:1459200:2188800:2188800:2188800:2188800:2476800
107720.77,,,,,1555200:1555200:1555200:2188800:2188800:2188800:2188800:2476800
107721.80,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
107722.84,,,,,1344000:1344000:1344000:2188800:2188800:2188800:2188800:2476800
107723.88,,,,,1344000:1344000:1344000:2188800:2188800:2188800:2188800:2476800
107724.90,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
