t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107504.77,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107505.80,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3360000
107506.82,,,,,1900800:1900800:1900800:2803200:2803200:2803200:2803200:3360000
107506.97,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107507.99,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107509.02,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107509.17,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107510.20,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107511.23,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107512.24,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107512.37,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107513.39,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107513.47,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107514.48,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107515.50,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107516.53,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107517.55,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107518.57,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107518.67,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107519.69,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107520.71,,,,,1017600:1017600:1017600:2803200:2803200:2803200:2803200:3360000
107521.74,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3360000
107522.76,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107523.80,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107524.83,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3360000
107525.84,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107526.87,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3360000
107527.90,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3360000
107528.93,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107529.97,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3360000
107530.98,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107532.00,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3360000
107533.04,,,,,1785600:1785600:1785600:2803200:2803200:2803200:2803200:3360000
107534.07,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107535.09,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3360000
107536.13,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107537.16,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3360000
107538.19,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107539.22,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107540.24,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3360000
107541.26,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107542.29,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107542.37,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107543.40,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3360000
107543.47,,,,,1785600:1785600:1785600:2803200:2803200:2803200:2803200:3360000
107544.50,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107545.52,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107546.54,,,,,1113600:1113600:1113600:2803200:2803200:2803200:2803200:3360000
107547.58,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107548.60,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107549.62,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107549.77,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107550.79,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107550.87,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107551.90,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107551.97,,,,,1785600:1785600:1785600:2803200:2803200:2803200:2803200:3360000
107552.99,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107553.08,,,,,1017600:1017600:1017600:2803200:2803200:2803200:2803200:3360000
107554.11,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107555.15,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3360000
107556.18,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3360000
107557.21,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3360000
107558.24,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107559.28,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3360000
107560.33,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107561.36,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107561.47,,,,,1344000:1344000:1785600:2803200:2803200:2803200:2803200:3360000
107562.50,,,,,787200:787200:787200:2803200:2803200:2803200:2803200:3360000
107563.52,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3360000
107564.55,,,,,902400:902400:902400:2803200:2803200:2803200:2803200:3360000
107565.57,,,,,1555200:1555200:1555200:2803200:2803200:2803200:2803200:3360000
107565.67,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3360000
107566.70,,,,,1459200:1459200:1459200:2803200:2803200:2803200:2803200:3360000
107567.72,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3360000
107568.74,,,,,1670400:1670400:1670400:2803200:2803200:2803200:2803200:3360000
107568.87,,,,,672000:672000:672000:2803200:2803200:2803200:2803200:3360000
107569.90,,,,,2016000:2016000:2016000:2803200:2803200:2803200:2803200:3187200
107570.93,,,,,1228800:1228800:1228800:2803200:2803200:2803200:2803200:3187200
107571.96,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107572.99,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107574.02,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107575.06,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107576.10,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107577.14,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107578.18,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107579.22,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107580.26,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
107581.30,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107582.33,,,,,1344000:1344000:1344000:2803200:2803200:2803200:2803200:3187200
107583.36,,,,,556800:556800:556800:2803200:2803200:2803200:2803200:3187200
