t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
596426.65,-276000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:1500000:1500000
596427.67,-210000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596428.70,-210000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596429.72,-215000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596430.75,-222000,4005000,230,Discharging,1250000:1250000:1250000:1250000:1250000:1250000:725000:725000
596431.78,-231000,4005000,230,Discharging,650000:650000:650000:650000:650000:650000:725000:725000
596432.81,-114000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596433.86,-113000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596434.91,-104000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596435.95,-110000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596436.99,-105000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596438.03,-103000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596439.07,-109000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596440.11,-106000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596441.14,-116000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596442.18,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596443.22,-106000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596444.27,-104000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596445.31,-104000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596446.38,-108000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596447.43,-107000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596448.48,-103000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596449.55,-114000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596450.59,-106000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596451.63,-119000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596452.67,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596453.71,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596454.76,-111000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596455.80,-167000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596456.85,-112000,4005000,230,Discharging,500000:500000:500000:500000:650000:650000:725000:725000
596457.88,-149000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596458.91,-117000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596459.96,-108000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596461.01,-113000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596462.04,-115000,4005000,230,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
596463.07,-292000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596464.12,-109000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596465.15,-109000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596466.20,-102000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596467.25,-104000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596468.29,-108000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596469.34,-105000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596470.39,-105000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596471.43,-108000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596472.46,-105000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596473.50,-107000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596474.54,-107000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596475.59,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596476.64,-110000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596477.70,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596478.74,-117000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596479.79,-107000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596480.84,-110000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596481.88,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596482.91,-116000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596483.95,-112000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596484.99,-121000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596486.03,-110000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596487.08,-110000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
596488.13,-128000,4005000,230,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
