t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
600102.54,-153000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
600103.56,-512000,3965000,270,Discharging,500000:500000:500000:500000:500000:500000:900000:900000
600104.58,-192000,3965000,270,Discharging,750000:750000:750000:750000:750000:1450000:725000:725000
600105.61,-302000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600106.63,-288000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600107.65,-260000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600108.67,-274000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600109.69,-285000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:1100000:1100000
600110.72,-313000,3965000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600111.74,-345000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600112.77,-379000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600113.80,-199000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600114.93,-189000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600117.40,-11000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600119.06,-67000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600121.70,-12000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600122.73,-249000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600126.35,-10000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:900000:900000
600128.76,-11000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600132.32,-14000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600134.19,-152000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600135.22,-145000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600137.10,-62000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:1100000:1100000
600139.20,-58000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600141.74,-120000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600145.29,-10000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600146.54,-107000,3927000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600148.84,-124000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:1300000:1300000
600151.33,-47000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600154.47,-10000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600157.72,-14000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600160.23,-10000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600163.59,-42000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600166.94,-14000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600169.66,-62000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600171.69,-35000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600174.89,-83000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:1000000:1000000
600177.40,-57000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600180.76,-64000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600183.09,-130000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600184.57,-117000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600186.84,-51000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600189.35,-133000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600192.42,-68000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600194.65,-150000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:800000:800000
600197.16,-72000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600199.29,-139000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600201.83,-39000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600204.34,-103000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600208.10,-10000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600211.26,-8000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600213.77,-9000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600217.30,-49000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600220.09,-9000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600223.25,-14000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600225.12,-89000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600228.03,-37000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600230.59,-99000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:900000:900000
600232.90,-46000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600235.85,-43000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600239.40,-11000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600241.92,-53000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600245.04,-174000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600247.90,-89000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600250.82,-85000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600254.18,-11000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600257.74,-13000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600259.41,-176000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600262.59,-82000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600264.46,-214000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600265.49,-196000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600268.86,-48000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600271.56,-12000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600274.23,-9000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600276.72,-146000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600278.99,-49000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600281.59,-11000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600284.49,-16000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600286.98,-146000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600290.32,-12000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600292.98,-79000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600295.48,-39000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600297.46,-137000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:900000:900000
600300.15,-44000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600302.78,-157000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600304.72,-13000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600307.01,-52000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600309.56,-10000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600312.41,-13000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:1600000:1600000
600314.76,-10000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600317.69,-9000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600320.57,-65000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
600323.49,-118000,3960000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:725000:725000
