t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
579379.71,-253000,4300000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579380.73,-248000,4300000,270,Discharging,500000:500000:500000:500000:500000:500000:800000:800000
579381.75,-220000,4300000,270,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
579382.78,-438000,4300000,270,Discharging,1450000:1450000:1450000:1450000:1450000:1450000:2200000:2200000
579383.80,-581000,4300000,270,Discharging,500000:1000000:1000000:1000000:1000000:1000000:1700000:1700000
579384.82,-851000,4300000,270,Discharging,650000:650000:650000:650000:650000:650000:1500000:1400000
579385.84,-695000,4262000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
579386.87,-974000,4262000,270,Discharging,800000:800000:800000:800000:800000:800000:2200000:2200000
579387.90,-577000,4245000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579388.94,-545000,4245000,270,Discharging,1350000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
579389.96,-565000,4245000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579390.99,-568000,4245000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579392.02,-570000,4245000,270,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
579393.04,-562000,4245000,270,Discharging,1150000:1150000:1150000:1150000:1150000:1150000:2200000:2200000
579394.07,-605000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579395.10,-567000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579396.13,-596000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579397.17,-569000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579398.21,-606000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579399.24,-569000,4230000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579400.27,-596000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579401.30,-565000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579402.33,-691000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579403.36,-812000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579404.39,-815000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579405.42,-813000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579406.45,-814000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579407.49,-809000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579408.52,-827000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579409.55,-810000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579410.58,-821000,4237000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579411.60,-817000,4200000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579412.63,-818000,4200000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579413.66,-821000,4200000,270,Discharging,800000:800000:800000:800000:800000:800000:2200000:2200000
579414.68,-815000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579415.71,-850000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579416.75,-818000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579417.78,-849000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579418.81,-820000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579419.84,-837000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579420.87,-823000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579421.90,-823000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579422.93,-816000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579423.96,-832000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579424.99,-820000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579426.02,-855000,4197000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579427.05,-842000,4192000,270,Discharging,1150000:1150000:1150000:1150000:1150000:1150000:2200000:2200000
579428.09,-855000,4192000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579429.12,-827000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579430.15,-819000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579431.18,-826000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579432.21,-818000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579433.24,-968000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579434.27,-827000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579435.30,-827000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579436.33,-823000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579437.36,-817000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579438.39,-848000,4190000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579439.42,-830000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579440.45,-819000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579441.48,-859000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579442.51,-822000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579443.54,-863000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579444.57,-832000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579445.60,-851000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579446.62,-829000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579447.66,-859000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579448.69,-828000,4185000,270,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579449.72,-848000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579450.74,-820000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579451.77,-818000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579452.80,-816000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579453.83,-826000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579454.86,-827000,4182000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579455.89,-824000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579456.92,-822000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579457.95,-823000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579458.98,-820000,4185000,280,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
