t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
580004.33,-284000,4125000,350,Discharging,500000:500000:500000:500000:500000:500000:2100000:2100000
580005.35,-264000,4125000,350,Discharging,500000:500000:500000:500000:500000:500000:1100000:1100000
580006.37,-226000,4125000,350,Discharging,500000:500000:500000:500000:500000:500000:1600000:1600000
580007.40,-548000,4125000,350,Discharging,1200000:1200000:1200000:1200000:1200000:1200000:2200000:2200000
580008.42,-695000,4125000,350,Discharging,750000:750000:750000:750000:750000:750000:725000:725000
580009.45,-473000,4125000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580010.48,-610000,4125000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580011.51,-606000,4150000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580012.55,-613000,4150000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580013.58,-912000,4150000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580014.61,-864000,4150000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580015.65,-907000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580016.68,-571000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580017.71,-234000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580018.74,-231000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580019.77,-265000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580020.81,-233000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580021.84,-227000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580022.86,-531000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580023.90,-479000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580024.93,-612000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580025.96,-615000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580026.99,-609000,4135000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580028.02,-630000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580029.05,-863000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580030.08,-866000,4165000,350,Discharging,750000:750000:750000:750000:750000:750000:2200000:2200000
580031.11,-874000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580032.14,-523000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580033.18,-233000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580034.22,-228000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580035.26,-225000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580036.30,-250000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580037.33,-347000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580038.36,-551000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580039.39,-484000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580040.42,-604000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580041.45,-616000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580042.48,-603000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580043.52,-660000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580044.54,-873000,4160000,350,Discharging,750000:750000:750000:750000:750000:2000000:2200000:2200000
580045.57,-910000,4160000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580046.60,-758000,4137000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580047.63,-263000,4137000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580048.67,-228000,4137000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580049.70,-262000,4137000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580050.73,-223000,4137000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580051.77,-260000,4137000,350,Discharging,500000:850000:850000:850000:850000:850000:1200000:1200000
