t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
579870.96,-294000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579871.99,-264000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:1100000:1100000
579873.01,-240000,4215000,340,Discharging,500000:500000:500000:500000:750000:750000:725000:725000
579874.03,-468000,4215000,340,Discharging,1350000:1350000:1350000:1350000:1350000:1350000:2200000:2200000
579875.05,-664000,4215000,340,Discharging,1000000:1000000:1000000:1000000:1000000:1000000:725000:725000
579876.08,-630000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579877.11,-606000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579878.14,-609000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579879.17,-601000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579880.20,-615000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579881.24,-603000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579882.27,-756000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579883.30,-889000,4215000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579884.32,-874000,4150000,340,Discharging,1300000:1300000:1300000:1300000:1300000:1300000:2200000:2200000
579885.35,-866000,4150000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579886.38,-859000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579887.41,-860000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579888.44,-858000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579889.46,-902000,4147000,340,Discharging,900000:900000:900000:900000:900000:900000:2200000:2200000
579890.49,-870000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579891.52,-866000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579892.55,-866000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579893.58,-895000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579894.61,-859000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579895.64,-899000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579896.67,-863000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579897.70,-898000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579898.73,-863000,4147000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579899.76,-912000,4145000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579900.79,-873000,4145000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579901.82,-897000,4145000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579902.85,-859000,4145000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
579903.88,-889000,4145000,340,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
