t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
580067.03,-275000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580068.05,-231000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:1100000:1100000
580069.08,-222000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
580070.10,-455000,4217000,350,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
580071.13,-492000,4217000,350,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
580072.15,-708000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580073.19,-771000,4217000,350,Discharging,650000:650000:650000:650000:650000:650000:2200000:2200000
580074.22,-599000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580075.25,-629000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580076.29,-599000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580077.32,-634000,4217000,350,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
580078.33,-613000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580079.37,-612000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580080.40,-611000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580081.43,-641000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580082.46,-618000,4217000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580083.49,-637000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580084.52,-626000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580085.55,-646000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580086.59,-604000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
580087.62,-678000,4165000,350,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
