t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
581283.30,-299000,4115000,370,Discharging,500000:500000:500000:500000:500000:500000:1300000:1300000
581284.33,-271000,4115000,370,Discharging,500000:500000:500000:500000:500000:500000:725000:725000
581285.35,-260000,4115000,370,Discharging,1100000:1100000:1100000:1100000:1100000:1100000:1000000:1000000
581286.37,-457000,4115000,370,Discharging,1350000:1350000:1350000:1350000:1350000:1350000:2200000:2200000
581287.39,-543000,4115000,370,Discharging,900000:900000:900000:900000:900000:900000:2200000:2200000
581288.42,-707000,4115000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581289.45,-773000,4115000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581290.48,-611000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581291.51,-645000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581292.55,-617000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581293.58,-634000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581294.61,-603000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581295.65,-569000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581296.68,-581000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581297.71,-563000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581298.75,-570000,4067000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581299.78,-636000,4065000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581300.82,-710000,4065000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581301.85,-719000,4065000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581302.88,-727000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581303.92,-732000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581304.96,-688000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581305.99,-716000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581307.03,-690000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581308.06,-667000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581309.10,-666000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581310.13,-666000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581311.17,-636000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581312.20,-625000,4065000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581313.24,-609000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581314.27,-588000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581315.31,-595000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581316.34,-618000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581317.38,-594000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581318.41,-580000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581319.45,-565000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581320.49,-570000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581321.52,-563000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581322.56,-567000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581323.59,-553000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581324.63,-549000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581325.66,-542000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581326.70,-539000,4072000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581327.73,-548000,4077000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581328.77,-553000,4077000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581329.80,-581000,4077000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581330.84,-547000,4080000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581331.87,-540000,4080000,370,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581332.90,-545000,4080000,380,Discharging,850000:850000:850000:850000:850000:650000:2200000:2200000
581333.93,-533000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581334.97,-531000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581336.00,-564000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581337.04,-537000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581338.07,-539000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581339.11,-540000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581340.15,-541000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581341.18,-541000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581342.22,-537000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581343.26,-545000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581344.29,-548000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581345.33,-541000,4080000,380,Discharging,1150000:1150000:1150000:1150000:1150000:1150000:2200000:2200000
581346.36,-576000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581347.40,-533000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581348.44,-540000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581349.47,-538000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581350.50,-537000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581351.54,-544000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581352.57,-573000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581353.61,-540000,4080000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581354.65,-576000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581355.68,-538000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581356.72,-540000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581357.75,-543000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581358.79,-548000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581359.83,-549000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581360.87,-577000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581361.91,-538000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581362.94,-538000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581363.98,-550000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581365.01,-572000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581366.05,-544000,4077000,380,Discharging,500000:500000:500000:500000:500000:500000:2200000:2200000
581367.08,-741000,4077000,380,Discharging,2000000:2000000:2000000:2000000:2000000:2000000:2200000:2200000
581368.11,-542000,4077000,380,Discharging,700000:700000:700000:700000:700000:700000:2200000:2200000
