block,order,arm,tok_s,s_per_tok,read_mib_per_tok,cache_hit_pct,rereads_per_tok,batt,temp,rc
1,1,A,5.531,0.181,53.61,39.5,15.7,87,261,0
1,2,B,3.159,0.317,197.01,28.3,93.4,87,261,0
1,3,B,3.194,0.313,197.01,28.3,93.4,87,277,0
1,4,A,5.760,0.174,53.61,39.5,15.7,86,284,0
2,1,A,5.899,0.170,53.61,39.5,15.7,86,282,0
2,2,B,3.178,0.315,197.01,28.3,93.4,86,285,0
2,3,B,3.216,0.311,197.01,28.3,93.4,86,285,0
2,4,A,5.910,0.169,53.61,39.5,15.7,85,285,0
3,1,A,5.824,0.172,53.61,39.5,15.7,85,285,0
3,2,B,3.171,0.315,197.01,28.3,93.4,85,285,0
3,3,B,1.357,0.737,197.01,28.3,93.4,84,282,0
3,4,A,2.467,0.405,53.61,39.5,15.7,84,284,0
